Job Title,Date Published,Job Type,Company Name,Contingency,Location Full,URL,Perks (coming soon),Seniority,Seniority slug,Functional Area,Functional Area Slug,ID
Sr. User Experience Designers,08/15/2023,Freelance,The Home Depot,Yes,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Design,design,86
Principal Software Engineer,08/15/2023,Internship,The Home Depot,No,Remote ;,http://careers.homedepot.com/technology,remotefriendly ; paidparentalleave ; latinxintech ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,87
Member of Technical Staff 2,08/21/2023,Full Time,VMWare,No,Remote ;,http://www.vmware.com,,Junior Level,entry-level,Engineering,engineering,88
Database Administrator,08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,http://wikimediafoundation.org,,Mid Level,mid-level,Engineering,engineering,89
"Senior Product Manager, Platform",08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Product,product,90
Staff Site Reliability Engineer (Traffic),08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Engineering,engineering,91
Senior Software Engineer - Structured Data,08/29/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Engineering,engineering,92
Software Engineer III - Web Team,08/27/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Product,product,93
Lead Counsel,08/23/2023,Temporary,Wikimedia Foundation,Yes,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Legal,legal,94
Data Visualization Specialist (Contract),08/22/2023,Full Time,Wikimedia Foundation,No,Remote ; US ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Data & Analytics,data-analytics,95
Senior Project Manager (Communications),08/15/2023,Temporary,Wikimedia Foundation,Yes,Remote ;,https://wikimediafoundation.org/,,Senior Level,senior-level,Project Management,project-management,96
"Data Center Engineer (contract, part-time)",08/12/2023,Full Time,Wikimedia Foundation,No,TX-Other ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Engineering,engineering,97
Integrated Marketing Specialist,08/12/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Mid Level,mid-level,Marketing,marketing,98
Legal Fellow (Spring 2023),08/12/2023,Full Time,Wikimedia Foundation,No,Remote ;,https://wikimediafoundation.org/,,Junior Level,entry-level,Legal,legal,99
Aspire Program – Tech Careers for Women,08/14/2023,Full Time,Wiley Edge,No,NY-New York City ;,https://www.wileyedge.com,,Junior Level,entry-level,Engineering,engineering,100
